,x,y,z,dist
67,55.71321236279208,22.74562040240063,13.739159663056386,17.511000073145446
54,29.446712286577316,10.144379597599373,22.98084033694361,17.912529464105162
64,46.95771232315006,10.144379597599373,22.98084033694361,17.912529478981114
28,29.44671228964661,36.45637959759937,22.98084033694362,18.70968625169402
51,46.95771232315005,36.45637959759937,22.98084033694362,18.709686267372476
36,20.69121235972279,22.74562040240063,6.395159663056387,18.98866647623768
34,20.69121235972279,22.74562040240063,21.083159663056385,18.988666476237682
83,55.71321236279208,22.74562040240063,6.3951596630563845,18.988666608314016
69,55.713212362792085,22.745620402400625,21.083159663056378,18.988666608314023
46,23.08628760370447,16.72237959759937,24.75515966305638,19.650009285079193
33,23.08628760370447,29.878379597599373,24.75515966305639,20.01798413546599
48,40.597287640277216,43.03437959759938,10.067159663056387,20.757016153964912
42,40.597287640277216,43.03437959759938,17.411159663056385,20.757016153964912
39,31.841787603704482,42.47962040240063,11.964840336943617,20.80946821176744
88,58.10828767684995,16.722379597599375,10.067159663056383,21.11906368932213
87,58.10828767684995,16.722379597599375,17.411159663056388,21.11906368932213
75,58.10828767684995,29.87837959759939,10.067159663056383,21.461865600588272
73,58.10828767684995,29.87837959759939,17.411159663056388,21.461865600588272
38,31.841787603704482,42.47962040240063,19.308840336943614,21.468747075565805
44,20.69121235972279,35.90162040240062,13.73915966305639,21.902407505701117
68,20.69121235972279,9.589620402400632,13.739159663056384,21.902407505701117
98,55.713212362792085,9.589620402400632,13.739159663056384,21.90240762020696
74,55.71321236279208,35.90162040240063,13.739159663056386,21.90240762020696
56,31.841787603704482,42.47962040240064,4.620840336943612,22.65015464667967
76,49.352787673780654,42.47962040240064,11.964840336943617,22.73574930518617
53,20.69121235972279,35.90162040240062,6.395159663056387,23.100861251169672
55,20.69121235972279,35.90162040240062,21.083159663056385,23.100861251169675
78,20.69121235972279,9.589620402400632,21.083159663056385,23.100861251169675
82,20.69121235972279,9.589620402400627,6.395159663056387,23.100861251169675
104,55.713212362792085,9.589620402400632,6.3951596630563845,23.10086135973505
79,55.71321236279208,35.90162040240063,21.083159663056385,23.100861359735053
84,55.71321236279208,35.90162040240063,6.3951596630563845,23.100861359735053
100,55.7132123627921,9.589620402400636,21.083159663056392,23.100861359735063
58,40.59728764027723,43.0343795975994,24.755159663056393,23.210394042668927
72,49.35278767378065,42.479620402400634,19.308840336943618,23.340681871066423
97,58.10828767684995,16.722379597599375,24.755159663056386,23.53473014745749
89,58.10828767684995,29.87837959759939,24.755159663056386,23.84282590335538
91,49.352787673780654,42.47962040240064,4.6208403369436155,24.43173826665262
65,14.330787640277208,29.323620402400643,11.964840336943617,24.824649199163716
85,14.33078760063518,16.16762040240063,11.964840336943618,24.82464923728355
66,14.330787640277208,29.323620402400643,19.308840336943607,25.37984124457037
90,14.330787600635174,16.167620402400626,19.308840336943607,25.379841281856326
63,23.086287603704466,43.03437959759938,10.067159663056387,25.565768378670683
60,23.086287603704466,43.03437959759938,17.411159663056385,25.565768378670683
70,11.93571232315005,23.300379597599374,15.636840336943616,26.34080428146923
107,64.46871236279208,23.30037959759938,15.636840336943614,26.340804387817247
77,14.330787640277212,29.323620402400635,4.620840336943612,26.386715334112424
92,14.33078760063518,16.16762040240063,4.620840336943613,26.38671536997561
80,11.93571232315005,23.300379597599374,8.292840336943616,26.830936853874707
109,64.4687123627921,23.300379597599377,8.292840336943616,26.830936958280045
71,23.086287603704474,43.0343795975994,24.755159663056393,27.594876060454382
81,11.935712323150048,23.300379597599374,22.98084033694362,27.850411844939085
116,64.46871236279209,23.30037959759938,22.98084033694361,27.850411945522612
103,58.10828767684995,43.03437959759938,10.067159663056383,28.659538918164465
